  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0063   0.04476   0.02353  -0.0322   1.0000   1.0000
   0.500   0.0292   0.04599   0.02389  -0.0316   1.0000   1.0000
   1.000   0.0637   0.04745   0.02465  -0.0312   1.0000   1.0000
   1.500   0.0972   0.04915   0.02579  -0.0309   1.0000   1.0000
   2.000   0.1294   0.05110   0.02730  -0.0307   1.0000   1.0000
   2.500   0.1605   0.05332   0.02919  -0.0308   1.0000   1.0000
   3.000   0.1901   0.05584   0.03145  -0.0310   1.0000   1.0000
   3.500   0.2183   0.05866   0.03409  -0.0315   1.0000   1.0000
   4.000   0.2452   0.06179   0.03710  -0.0321   1.0000   1.0000
   4.500   0.2708   0.06521   0.04046  -0.0330   1.0000   1.0000
   5.000   0.2955   0.06890   0.04413  -0.0340   1.0000   1.0000
   5.500   0.3194   0.07284   0.04809  -0.0351   1.0000   1.0000
   6.000   0.3427   0.07701   0.05231  -0.0364   1.0000   1.0000
   6.500   0.3656   0.08138   0.05679  -0.0377   1.0000   1.0000
   7.000   0.3881   0.08596   0.06149  -0.0392   1.0000   1.0000
   7.500   0.4100   0.09074   0.06642  -0.0407   1.0000   1.0000
   8.000   0.4314   0.09572   0.07162  -0.0424   1.0000   1.0000
   8.500   0.4521   0.10092   0.07704  -0.0442   1.0000   1.0000
   9.000   0.4721   0.10633   0.08271  -0.0461   1.0000   1.0000
   9.500   0.4915   0.11197   0.08866  -0.0481   1.0000   1.0000
  10.000   0.5102   0.11783   0.09481  -0.0504   1.0000   1.0000
  10.500   0.5283   0.12391   0.10120  -0.0528   1.0000   1.0000
  11.000   0.5461   0.13019   0.10783  -0.0554   1.0000   1.0000
  11.500   0.5635   0.13664   0.11459  -0.0581   1.0000   1.0000
  12.000   0.5809   0.14324   0.12150  -0.0611   1.0000   1.0000
  12.500   0.5983   0.14995   0.12855  -0.0641   1.0000   1.0000
  13.000   0.6160   0.15675   0.13564  -0.0674   1.0000   1.0000
  13.500   0.6339   0.16359   0.14278  -0.0707   1.0000   1.0000
  14.000   0.6521   0.17049   0.15000  -0.0741   1.0000   1.0000
  14.500   0.6705   0.17743   0.15724  -0.0776   1.0000   1.0000
  15.000   0.6892   0.18443   0.16453  -0.0811   1.0000   1.0000
  15.500   0.7080   0.19151   0.17190  -0.0848   1.0000   1.0000
  16.000   0.7429   0.20319   0.18405  -0.0928   0.9816   1.0000
  16.500   0.7818   0.21483   0.19614  -0.1016   0.9400   1.0000
  17.000   0.8077   0.22102   0.20270  -0.1067   0.9046   1.0000
  17.500   0.8403   0.23256   0.21468  -0.1130   0.8647   1.0000
  18.000   0.8632   0.23904   0.22145  -0.1171   0.8307   1.0000
  18.500   0.8862   0.24568   0.22836  -0.1211   0.7939   1.0000
  19.000   0.9152   0.25793   0.24095  -0.1260   0.7560   1.0000
  19.500   0.9356   0.26423   0.24742  -0.1294   0.7230   1.0000
  20.000   0.9556   0.27034   0.25367  -0.1326   0.6895   1.0000
  20.500   0.9767   0.27780   0.26127  -0.1360   0.6580   1.0000
  21.000   0.9982   0.28605   0.26969  -0.1395   0.6286   1.0000
  21.500   1.0211   0.29600   0.27975  -0.1430   0.6000   1.0000
  22.000   1.0366   0.29909   0.28294  -0.1460   0.5758   1.0000
  22.500   1.0580   0.30882   0.29277  -0.1497   0.5529   1.0000
  23.000   1.0736   0.31250   0.29653  -0.1530   0.5320   1.0000
  23.500   1.0936   0.32110   0.30529  -0.1566   0.5109   1.0000
  24.000   1.1141   0.33152   0.31581  -0.1603   0.4924   1.0000
  24.500   1.1293   0.33570   0.32007  -0.1640   0.4759   1.0000
  25.000   1.1451   0.34072   0.32518  -0.1678   0.4597   1.0000
  25.500   1.1613   0.34660   0.33120  -0.1717   0.4441   1.0000
  26.000   1.1776   0.35299   0.33769  -0.1756   0.4291   1.0000
  26.500   1.1941   0.36001   0.34482  -0.1796   0.4144   1.0000
  27.000   1.2109   0.36809   0.35301  -0.1836   0.4001   1.0000
  27.500   1.2250   0.37188   0.35696  -0.1878   0.3866   1.0000
  28.000   1.2373   0.37364   0.35879  -0.1922   0.3747   1.0000
  28.500   1.2510   0.37841   0.36366  -0.1967   0.3637   1.0000
  29.000   1.2667   0.38681   0.37218  -0.2009   0.3524   1.0000
  30.000   1.2922   0.39403   0.37967  -0.2102   0.3308   1.0000
